location,latitude,longitude,altitude
"Deutschland, Kreis Limburg; Kreis Wetzlar",,,
"Deutschland, Kreis Limburg; Unter - Lahnkreis",,,
"Deutschland, Kreis Usingen",,,
"Deutschland, Kreis Wetzlar",50.5525346,8.5074406,0.0
"Deutschland, Kreis Wetzlar, Burgsolms",,,
"Deutschland, Kreis Wetzlar; Dillkreis",,,
"Deutschland, Kreis Wetzlar; Neuwied",,,
"Deutschland, Kuhlaendchen",,,
"Deutschland, Lahn - Gebiet",,,
"Deutschland, Lahn - Gegend",,,
"Deutschland, Lahn - Gegend, Kreis Limburg",,,
"Deutschland, Lahn - Tal",50.3202579,7.6325852,0.0
"Deutschland, Lahngegend",,,
"Deutschland, Lahngegend; Taunus",,,
"Deutschland, Lahngegend; Westfalen",,,
"Deutschland, Liegnitz",52.3996365,13.040742959690846,0.0
"Deutschland, Limburg, Nauheim",50.3452965,8.1365254,0.0
"Deutschland, Limburg; Unter - Lahnkreis",,,
"Deutschland, Magdeburg",52.1315889,11.6399609,0.0
"Deutschland, Magdeburg, Genthin",52.435965,12.123555,0.0
"Deutschland, Magdeburg, Leitzkau",,,
"Deutschland, Marburg",50.81173270000001,8.775774199999999,0.0
"Deutschland, Mark",51.00419960000001,7.8256115999999984,0.0
"Deutschland, Mark, Luckenwalde; Jueterbogk",,,
"Deutschland, Mark, Nauen, Vietzin",,,
"Deutschland, Mecklenburg",53.7445632,11.796350309941268,0.0
"Deutschland, Meiningerland, Vachdorf",,,
"Deutschland, Mittel - Franken",48.8265489,8.8703413,0.0
"Deutschland, Mittel - Franken, Ziegelanger",,,
"Deutschland, Mittelmark, Gransee",,,
"Deutschland, Mosel - Gegend",,,
"Deutschland, Mosel, Veldenz; Gornhausen",,,
"Deutschland, Muensterland",51.7311814,7.984631699999999,0.0
"Deutschland, Nassau, Dillkreis; Wetterau",,,
"Deutschland, Nassau, Kreis Wetzlar; Dillkreis",,,
"Deutschland, Nauen, Buschow",,,
"Deutschland, Neisse, Walldorf",51.95138970000001,14.7181815,0.0
"Deutschland, Neumark, Lippehne",,,
"Deutschland, Neustadt - Eberswalde, Coethen",,,
"Deutschland, Neustadt a.d. Dosse",52.8550517,12.440522,0.0
"Deutschland, Nieder - Bayern, Mittel - Franken",,,
"Deutschland, Nieder - Rhein ?",50.7800748,7.1822380355604745,0.0
"Deutschland, Niederdeutsch",,,
"Deutschland, Niederlausitz",51.84989255,14.288126779104815,0.0
"Deutschland, Niederlausitz, Guben",,,
"Deutschland, Niederlausitz, Luebbenau",,,
"Deutschland, Niederreifenberg",50.2410255,8.423176699999999,0.0
"Deutschland, Niederrhein",51.1934185,6.692645,0.0
"Deutschland, Niederrhein ?",51.1934185,6.692645,0.0
"Deutschland, Niederrhein, Lobberich",51.2868488,6.2810419,0.0
"Deutschland, Niederrhein, Meurs",51.40191935,6.610618977130827,0.0
"Deutschland, Niederrhein, Meurs, Neukirchen",51.4515796,6.5936027,0.0
"Deutschland, Niederrhein, Niederkruechten",,,
"Deutschland, Niederrhein, Wesel",51.62805615,6.607879716183777,0.0
"Deutschland, Niederrhein; Bergisches Land",,,
"Deutschland, Niederrhein; Elsass",,,
"Deutschland, Niederrhein; Siebengebirge",,,
"Deutschland, Niederrhein; Westfalen",51.1934185,6.692645,0.0
"Deutschland, Niederrhein; Westfalen;",51.1934185,6.692645,0.0
"Deutschland, Nord - Friesland",53.33290585,8.482577355691532,0.0
"Deutschland, Norddeutschland",51.4697322,6.5673564,0.0
"Deutschland, Norddeutschland, Ditmarschen",,,
"Deutschland, Nordsee, Budjadinger - Land",,,
"Deutschland, Ober - Bayern",,,
"Deutschland, Ober - Hessen",52.0190684,10.781308795084774,0.0
"Deutschland, Ober - Hessen, Giessen",,,
"Deutschland, Ober - Hessen, Nassau",,,
"Deutschland, Ober - Hessen, Wiesenbreidenbach",,,
"Deutschland, Ober - Hessen; Nassau",,,
"Deutschland, Ober - Hessen; Nassau; Elsass",,,
"Deutschland, Ober - Hessen; Wetterau",50.3556283,8.6947136,0.0
"Deutschland, Ober - Lahnkreis, Altenkirchen",,,
"Deutschland, Ober - Lahnkreis, Dillkreis",,,
"Deutschland, Ober - Lahnkreis, Niedertiefenbach",,,
"Deutschland, Ober - Lahnkreis; Dillkreis",,,
"Deutschland, Ober - Lahnkreis; Limburg",,,
"Deutschland, Ober - Rhein",49.9731166,8.8331046,0.0
"Deutschland, Ober - Westerwald; Unter - Taunus",,,
"Deutschland, Ober- Bergisches Land, Gunnersbach",,,
"Deutschland, Oberlahnkreis; Kreis Wetzlar",,,
"Deutschland, Oberlahnkreis; Westerwald",,,
"Deutschland, Oberrhein; France, Elsass",,,
"Deutschland, Odenwald",49.60621635,9.04404309244449,0.0
"Deutschland, Odenwald, Neunkirchen",49.3886578,9.0080906,0.0
"Deutschland, Odenwald, Spachbruecken",,,
"Deutschland, Odenwald; Bergstrasse",49.5376592,9.5018337,0.0
"Deutschland, Odenwald; Limburg, Nauheim",,,
"Deutschland, Oderberg, Hohen - Saathen",,,
"Deutschland, Oderberg, Hohen Saathen",,,
"Deutschland, Oderbruch",51.77285925,10.565671689917252,0.0
"Deutschland, Oderbruch, Gross - Neuendorf",,,
"Deutschland, Oesterreich",48.4114852,12.879332000000002,0.0
"Deutschland, Oldenburg",53.13897530000001,8.214601700000001,0.0
"Deutschland, Ost - Friesland",53.374657299999996,7.607470007393393,0.0
"Deutschland, Ost - Preussen, Ermland",,,
"Deutschland, Paderborn",51.71895955,8.764869778177559,0.0
"Deutschland, Pommern",50.1699365,7.274099499999997,0.0
"Deutschland, Pommern, Alt - Storken",,,
"Deutschland, Pommern, Anclam",,,
"Deutschland, Pommern, Fiddichow, Brusenfelde",,,
"Deutschland, Pommern, Tantow, Rosow",,,
"Deutschland, Pommern, Tantow, Rossow",,,
"Deutschland, Potsdam, Toeplitz",52.43352755,12.912996336852665,0.0
"Deutschland, Regensburg",49.0195333,12.0974869,0.0
"Deutschland, Rheingau, Lorchgau; Hessen,",,,
"Deutschland, Rheingau, Niederwald; Lahn - Tal",,,
"Deutschland, Rheinland",50.7702908,6.2295504,0.0
"Deutschland, Rheinland, Bonn",50.4292854,7.4838947,0.0
"Deutschland, Rheinland, Bonn, Kessenich",,,
"Deutschland, Rheinland, Bonn; Hessen, Odenwald",,,
"Deutschland, Rheinland, Duesseldorf",,,
"Deutschland, Rheinland, Koeln",50.7702908,6.2295504,0.0
"Deutschland, Rheinland, Neuwied, Wollendorf",50.45143770000001,7.4254677,0.0
"Deutschland, Rheinland, Siebengebirge",50.68841345,7.242792172675885,0.0
"Deutschland, Rheinland, Siebengebirge; Hessen;",,,
"Deutschland, Rheinland; Hessen",50.1963761,7.9020303,0.0
"Deutschland, Rheinland; Hessen; Sachsen",,,
"Deutschland, Rheinland; Mosel",50.3680206,7.5809854,0.0
"Deutschland, Rheinland; Unter - Taunus",,,
"Deutschland, Rheinpfalz",48.1565094,11.5757743,0.0
"Deutschland, Rheinpfalz, Kaiserslautern,",,,
"Deutschland, Rheinpfalz, Mussbach a.d. Hardt",,,
"Deutschland, Rheinpfalz, Westrich",,,
"Deutschland, Rheinprovinz; Unter - Taunus",,,
"Deutschland, Ruhla",50.891491,10.3731603,0.0
"Deutschland, Ruhr - Gegend; Mosel - Gegend",,,
"Deutschland, Sachsen",50.92957979999999,13.4585052,0.0
"Deutschland, Sachsen, Dresden",51.0493286,13.7381437,0.0
"Deutschland, Sachsen, Halle",51.4825041,11.970545199999998,0.0
"Deutschland, Sachsen, Leipzig; Dresden",51.3519638,12.431901992408587,0.0
"Deutschland, Sachsen, Schlesien",51.2884561,14.8361439,0.0
"Deutschland, Sachsen; Franken; Rheinpfalz",,,
"Deutschland, Sachsen; Preussen",52.13608105,11.650775219224341,0.0
"Deutschland, Sachsen; Thueringen",50.7347376,12.483069,0.0
"Deutschland, Schlesien",53.20453910000001,11.2401781,0.0
"Deutschland, Schlesien ?, Jaegerndorf",,,
"Deutschland, Schlesien, Bresalau; Gotha",,,
"Deutschland, Schlesien, Breslau",,,
"Deutschland, Schlesien, Breslau, Luebben",,,
"Deutschland, Schlesien, Breslau; Hainau",,,
"Deutschland, Schlesien, Breslau; Liegnitz",,,
"Deutschland, Schlesien, Bunzlau; Hainau",,,
"Deutschland, Schlesien, Fraustadt",,,
"Deutschland, Schlesien, Glatz",,,
"Deutschland, Schlesien, Glogau",,,
"Deutschland, Schlesien, Hainau",,,
"Deutschland, Schlesien, Hainau; Fraustadt",,,
"Deutschland, Schlesien, Hainau; Liegnitz",,,
"Deutschland, Schlesien, Joachimstal",,,
"Deutschland, Schlesien, Kreis Neisse",,,
"Deutschland, Schlesien, Liegnitz",,,
"Deutschland, Schlesien, Neisse",,,
"Deutschland, Schlesien, Neisse, Waltdorf",,,
"Deutschland, Schlesien, Neisse, Waltorf",,,
"Deutschland, Schlesien, Niederlausitz",,,
"Deutschland, Schlesien, Schnurgast",,,
"Deutschland, Schlesien, Schoenau",,,
"Deutschland, Schlesien; Brandenburg",,,
"Deutschland, Schlesien; Brandenburg; Hessen",,,
"Deutschland, Schlesien; Brandenburg; Sachsen",,,
"Deutschland, Schlesien; Franken; Baden; Hessen",,,
"Deutschland, Schlesien; Maehren",,,
"Deutschland, Schlesien; Schweiz; Elsass",,,
