id,title,title_eng,location,latitude,longitude,culture,collection_date,collector,performersource,source_key,source_page_num,source_song_num,source_date,catalogue_numberencoder,encoding_date,copyright,license_abbr,version,meter,metric_classification,modality,key,ambitus,has_lyrics,has_music,genre,language,language_iso,url,preview_url,path,format,checksum
han1025,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1025.krn,han/han1025.krn,kern,140efada127c125efc1d19d9e7832feb
han1026,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1026.krn,han/han1026.krn,kern,5deb404de6feb266bfc992f815ab717d
han1027,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1027.krn,han/han1027.krn,kern,aa2d2cd23f4164ab4826246cf69f4dcb
han1028,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1028.krn,han/han1028.krn,kern,ca00b096abebf49afc4ca3a5bde568bb
han1029,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1029.krn,han/han1029.krn,kern,abee280819ef763a0267e56f981521b7
han1030,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1030.krn,han/han1030.krn,kern,ec121a00ac010cc62743ca28cc5f68df
han1031,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1031.krn,han/han1031.krn,kern,623ddd22658da5a68b14587566b31630
han1032,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1032.krn,han/han1032.krn,kern,d3a7932f19a7017396183cb2080b421e
han1033,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1033.krn,han/han1033.krn,kern,973b2f7faf3a161e61b8fd7e20232ed8
han1034,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/han/han1034.krn,han/han1034.krn,kern,c891c2524941b2eb56e624e21fb52fc0
