id,title,title_eng,location,latitude,longitude,culture,collection_date,collector,performersource,source_key,source_page_num,source_song_num,source_date,catalogue_numberencoder,encoding_date,copyright,license_abbr,version,meter,metric_classification,modality,key,ambitus,has_lyrics,has_music,genre,language,language_iso,url,preview_url,path,format,checksum,encoder
p0585,Der Kirchhofreiter ,,Lothringen,,,,,,,pinck1939verklingende4,35,4-24,,,,,,,4/4 ,,octatonic minor w/o 6,G,7b,False,True,,,,https://kern.humdrum.org/cgi-bin/ksdata?file=p0585.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0585.krn,p0585.krn,kern,71e33450756d9195f9f1fc473161537b,Damien Sagrillo
p0586,Arme Magd ,,Lothringen,,,,,,,pinck1939verklingende4,36,4-25,,,,,,,6/8 ,,pentatonic major,F,8,False,True,"geistliches, religiöses Lied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=p0586.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0586.krn,p0586.krn,kern,d65b1f3e068fee900f1fabed726cef89,Damien Sagrillo
p0587,Schöne Magdalena ,,Lothringen,,,,,,,pinck1939verklingende4,37,4-26,,,,,,,6/8 ,,hexatonic minor,G,8,False,True,,,,https://kern.humdrum.org/cgi-bin/ksdata?file=p0587.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0587.krn,p0587.krn,kern,15ef2c71f1ca3c5b6155eb714ff8c62c,Damien Sagrillo
p0588,Runckelstube,,Lothringen,,,,,,,pinck1939verklingende4,39,4-27,,,,,,,2/4 4/4 ,,pentatonic major,F,7b,False,True,"???, Standesunterschied, Ehe, Tod",,,https://kern.humdrum.org/cgi-bin/ksdata?file=p0588.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0588.krn,p0588.krn,kern,e463c774549b8be3a73d96d529fa6331,Damien Sagrillo
p0589,Der Mord im Walde ,,Lothringen,,,,,,,pinck1939verklingende4,40,4-28,,,,,,,free,,hexatonic minor,G,8,False,True,"Liebeslied, Standesunterschied, Mord",,,https://kern.humdrum.org/cgi-bin/ksdata?file=p0589.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0589.krn,p0589.krn,kern,5fbba1c49a80a218bb13f353bbe8368f,Damien Sagrillo
p0590,König und Marquise ,,Lothringen,,,,,,,pinck1939verklingende4,41,4-29,,,,,,,free,,pentatonic major,D,5,False,True,Liebeslied?,,,https://kern.humdrum.org/cgi-bin/ksdata?file=p0590.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0590.krn,p0590.krn,kern,5d4c40de15442425c5bb845a4ed13e50,Damien Sagrillo
p0591,Malbruck ,,Lothringen,,,,,,,pinck1939verklingende4,42,4-30,,,,,,,4/4 ,,hexatonic minor,G,6,False,True,"Kriegslied, historisches Lied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=p0591.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0591.krn,p0591.krn,kern,54a02eae4859ce3955ee5f5977bb0e1b,Damien Sagrillo
p0775,Gelobt sei der Herr Jesus Christ ,,Lothringen,,,,,,,pinck1926verklingende1,11,,,,,,,,free,,octatonic minor w/o 7,E,9,False,True,"geistliche, religiöse Lieder",,,https://kern.humdrum.org/cgi-bin/ksdata?file=p0775.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0775.krn,p0775.krn,kern,125a5b0ac46bbda4fff7dd3c4dd4343c,Damien Sagrillo
p0776,Neujahrslied,,Lothringen,,,,,,,pinck1926verklingende1,13,,,,,,,,3/4 ,,hexatonic minor,F,8,False,True,"geistliche, religiöse Lieder",,,https://kern.humdrum.org/cgi-bin/ksdata?file=p0776.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0776.krn,p0776.krn,kern,0c5617912c4d902f8b9078592f5a5373,Damien Sagrillo
p0777,Neujahrslied ,,Lothringen,,,,,,,pinck1926verklingende1,15,,,,,,,,4/4 ,,hexatonic minor,D,8,False,True,"geistliche, religiöse Lieder",,,https://kern.humdrum.org/cgi-bin/ksdata?file=p0777.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0777.krn,p0777.krn,kern,991ad41e47c3e7950efed7bba2d881ce,Damien Sagrillo
