id,title,title_eng,location,latitude,longitude,culture,collection_date,collector,performer,source,source_key,source_author,source_title,source_publisher,source_address,source_page_num,source_song_num,source_date,catalogue_numberencoder,encoding_date,copyright,license_abbr,version,meter,metric_classification,modality,key,ambitus,has_lyrics,has_music,genre,language,language_iso,url,preview_url,path,format,checksum
deut2942,Geh aus mein herz und suche freud,,"Europa, Mitteleuropa, Deutschland",,,,,,,,bohme1895volksthumliche,,,,,,749,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple quadruple,,,,False,True,"Jahreszeiten - Lied, Sommer, religioes",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut2942.krn&l=essen/europa/deutschl/boehme&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/boehme/deut2942.krn,deut2942.krn,kern,f8dc3029da8e8d44ff7d9481a26b410b
deut2943,Tochter zion freue dich,,"Europa, Mitteleuropa, Deutschland",,,,,,,,bohme1895volksthumliche,,,,,,750,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple quadruple,,,,False,True,"Preis - Lied, religioes",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut2943.krn&l=essen/europa/deutschl/boehme&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/boehme/deut2943.krn,deut2943.krn,kern,a0b14b31962b8de9e57bf04e552a7065
deut2944,Wenn ich ihn nur habe,,"Europa, Mitteleuropa, Deutschland",,,,,,,,bohme1895volksthumliche,,,,,,751,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple triple,,,,False,True,religioes,,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut2944.krn&l=essen/europa/deutschl/boehme&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/boehme/deut2944.krn,deut2944.krn,kern,978cde189ffc3ea03f4f34913d8eed0c
deut2945,Wenn ich ihn nur habe,,"Europa, Mitteleuropa, Deutschland",,,,,,,,bohme1895volksthumliche,,,,,,751A,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple quadruple,,,,False,True,religioes,,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut2945.krn&l=essen/europa/deutschl/boehme&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/boehme/deut2945.krn,deut2945.krn,kern,aed42640f089f9dd2b7c0da5918d1c3e
deut2946,Der beste freund ist in dem himmel,,"Europa, Mitteleuropa, Deutschland, Schlesien",,,,,,,,bohme1895volksthumliche,,,,,,752,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple triple,,,,False,True,"Moral - Lied, religioes",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut2946.krn&l=essen/europa/deutschl/boehme&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/boehme/deut2946.krn,deut2946.krn,kern,f6fd6dfad4747131b1d725eb1320cab0
deut2947,Habt ihr es noch nie erfahren,,"Europa, Mitteleuropa, Deutschland",,,,,,,,bohme1895volksthumliche,,,,,,753,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple quadruple,,,,False,True,religioes,,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut2947.krn&l=essen/europa/deutschl/boehme&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/boehme/deut2947.krn,deut2947.krn,kern,9f49d6dde42eda08d5b6ecebd066fb4c
deut2948,Es ist so still geworden,,"Europa, Mitteleuropa, Deutschland",,,,,,,,bohme1895volksthumliche,,,,,,755,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple quadruple,,,,False,True,"Tageszeiten - Lied, Abend, religioes",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut2948.krn&l=essen/europa/deutschl/boehme&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/boehme/deut2948.krn,deut2948.krn,kern,9625fc48def4e1e355ceee71271aebc3
deut2949,Meinen heiland im herzen,,"Europa, Mitteleuropa, Deutschland",,,,,,,,bohme1895volksthumliche,,,,,,756,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple quadruple,,,,False,True,"Tageszeiten - Lied, Abend, religioes",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut2949.krn&l=essen/europa/deutschl/boehme&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/boehme/deut2949.krn,deut2949.krn,kern,f4895a1d82a7b5884ccb916f593ab435
deut2950,Vater unser beten wir,,"Europa, Mitteleuropa, Deutschland, Brandenburg",,,,,,,,bohme1895volksthumliche,,,,,,757,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple quadruple,,,,False,True,"geistliches Volks - Lied, religioes, Gebet",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut2950.krn&l=essen/europa/deutschl/boehme&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/boehme/deut2950.krn,deut2950.krn,kern,69c4c405eb108c04c1bd43f11020a676
deut2951,Gott deine kindlein,,"Europa, Mitteleuropa, Deutschland",,,,,,,,bohme1895volksthumliche,,,,,,758,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple quadruple,,,,False,True,religioes,,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut2951.krn&l=essen/europa/deutschl/boehme&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/boehme/deut2951.krn,deut2951.krn,kern,d4b6329a37f10364783b269ba35c7009
deut2952,Ich bete an die macht der liebe,,"Europa, Mitteleuropa, Deutschland",,,,,,,,bohme1895volksthumliche,,,,,,759,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple triple,,,,False,True,"geistliches Volks - Lied, religioes",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut2952.krn&l=essen/europa/deutschl/boehme&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/boehme/deut2952.krn,deut2952.krn,kern,c03eecf5415ad1d05dffa6c0e2493224
deut2953,Heilge liebe himmelsglaube,,"Europa, Mitteleuropa, Deutschland",,,,,,,,bohme1895volksthumliche,,,,,,760,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple quadruple,,,,False,True,religioes,,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut2953.krn&l=essen/europa/deutschl/boehme&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/boehme/deut2953.krn,deut2953.krn,kern,bd4ad8463eaa932b419732fc7607ed0b
deut2954,Du schoene lilie auf dem feld,,"Europa, Mitteleuropa, Deutschland",,,,,,,,bohme1895volksthumliche,,,,,,761,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple quadruple,,,,False,True,"Natur - Lied, religioes",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut2954.krn&l=essen/europa/deutschl/boehme&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/boehme/deut2954.krn,deut2954.krn,kern,dcdfa96dde6bef3151f99c4f30f5912b
deut2955,Wer gott das herze giebet,,"Europa, Mitteleuropa, Deutschland",,,,,,,,bohme1895volksthumliche,,,,,,762,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple quadruple,,,,False,True,"Moral - Lied, religioes",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut2955.krn&l=essen/europa/deutschl/boehme&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/boehme/deut2955.krn,deut2955.krn,kern,d4c6f76a105610e53914d9f203828e6b
