id,title,title_eng,location,latitude,longitude,culture,collection_date,collector,performer,source,source_key,source_author,source_title,source_publisher,source_address,source_page_num,source_song_num,source_date,catalogue_numberencoder,encoding_date,copyright,license_abbr,version,meter,metric_classification,modality,key,ambitus,has_lyrics,has_music,genre,language,language_iso,url,preview_url,path,format,checksum
NHSDiscography-058,Untitled Papua New Guinea love track.,,"Western Highlands Province, Papua New Guinea",-5.626812999999999,144.25931200000002,Melpa,pre-2011,,,"""Untitled Papua New Guinea love track."" Unpublished recording acquired from Don Niles (2011).",,,Unpublished recording acquired from Don Niles (2011),,,,,,,,,,,,,,,13,,,Love,,,,,Transcriptions/xml_raw/NHSDiscography-058.xml,xml,68b89bfbbcb3082a32897534f51c2330
NHSDiscography-059,Tapiti,,"Alto Izogog, Bolivia",-18.412974,-61.780545,Guarani,1991-1997,,,"""Tapiti"" [Track 46]. On Le chant des engants du monde: vol. 6 Amérique du Sud (CD). Paris, France: Arion (1998)",,,On Le chant des engants du monde: vol,Arion ,"6 Amérique du Sud (CD). Paris, France",,Track 46,1998,,,,,,,,,,5,,,Lullaby,,,,,Transcriptions/xml_raw/NHSDiscography-059.xml,xml,0e3fe888726720409a217208e0b934b6
NHSDiscography-060,Belian (slow) - Meratus,,"South Kalimantan, Indonesia",-3.0926415,115.28375849999901,Meratus,1997-1998,,,"""Belian (slow) - Meratus"" [Track 4]. On Bornéo: Music of the Dayak and of the Punan [CD]. Paris, France: Buda Musique (1999)",,,On Bornéo: Music of the Dayak and of the Punan [CD],Buda Musique ,"Paris, France",,Track 4,1999,,,,,,,,,,10,,,Healing,,,,,Transcriptions/xml_raw/NHSDiscography-060.xml,xml,b7363e5a90dde0b386ac06722573ab0d
NHSDiscography-061,Lama,,"Nyanza, Rwanda",-2.35,29.7333,Rwandans,1952,,,"""Lama"" [Side A, Track 2]. On TR-181: Sons d' Afrique (Rwanda) [LP]. Johannesburg: International Library of African Music (1952)",,,On TR-181: Sons d' Afrique (Rwanda) [LP],International Library of African Music ,Johannesburg,,"Side A, Track 2",1952,,,,,,,,,,17,,,Love,,,,,Transcriptions/xml_raw/NHSDiscography-061.xml,xml,a7fc247f11d540dba3ac15523877909d
NHSDiscography-062,Ihumke,,"Nibutani, Hokkaido, Japan",42.6358,142.1595,Ainu,1978,,,"""Ihumke"" [Track 14]. On Ainu Songs Chants des Ainou [CD]. France: Auvidis (1993)",,,On Ainu Songs Chants des Ainou [CD],Auvidis ,France,,Track 14,1993,,,,,,,,,,12,,,Lullaby,,,,,Transcriptions/xml_raw/NHSDiscography-062.xml,xml,9b544b32801c5272ed9eb4851a2ca7a0
NHSDiscography-063,Embrukoi,,"Arusha Baraza, Arusha district, Tanzania",-3.3667,36.6833,Maasai,1950,,,"""Embrukoi"" [Track 20]. Tanzania Vocals Tanganyika [CD]. Utrecht, Netherlands: SWP Records; Grahamstown, South Africa: International Library of African Music (2003)",,,Tanzania Vocals Tanganyika [CD],"SWP Records; Grahamstown, South Africa: International Library of African Music ","Utrecht, Netherlands",,Track 20,2003,,,,,,,,,,30,,,Dance,,,,,Transcriptions/xml_raw/NHSDiscography-063.xml,xml,fb964c8752fdee895d212eee3c680df6
NHSDiscography-064,"Changgunrŏi: Pyŏlsanggŏri, Sinjanggŏri, Taegamgŏri, T'ŏjudaegamgŏri",,"Seoul, South Korea",37.5665,126.978,Korea,1991,,,"""Changgunrŏi: Pyŏlsanggŏri, Sinjanggŏri, Taegamgŏri, T'ŏjudaegamgŏri"" [Disc 2, Track 7]. On Seoul Jaesu Kut & Kin'ogwi Kut [CD]. Seoul: National Center for Korean Traditional Performing Arts/Korean Broadcasting System (1997)",,,On Seoul Jaesu Kut & Kin'ogwi Kut [CD],National Center for Korean Traditional Performing Arts/Korean Broadcasting System ,Seoul,,"Disc 2, Track 7",1997,,,,,,,,,,17,,,Healing,,,,,Transcriptions/xml_raw/NHSDiscography-064.xml,xml,a72c214ce542538a295f2e630178e5c6
NHSDiscography-065,Ngimthanda nje muhle,,"Mahlabatini, KwaZulu-Natal, South Africa",-28.2242365,31.4627576,Zulu,1955,,,"""Ngimthanda nje muhle"" [Side B, Track 1] On The Zulu Songs of Princess Constance Magogo KaDinuzulu [LP]. Johannesburg: Gallo Records (1973)",,,On The Zulu Songs of Princess Constance Magogo KaDinuzulu [LP],Gallo Records ,Johannesburg,,"Side B, Track 1",1973,,,,,,,,,,26,,,Love,,,,,Transcriptions/xml_raw/NHSDiscography-065.xml,xml,d2a1dd66658b7bf3f81e2d939045bf34
NHSDiscography-066,Porkâni (Zekre Khanjar),,"Turkmen Sahra, Iran",37.256692799999996,55.1694594,Turkmen,1972-1977,,,"""Porkâni (Zekre Khanjar)"" [Disc 3, Track 5]. On Hasht Behesht : A Selection of Iranian Regional Music [CD]. Tehran, Iran: Mahoor Institute of Culture and Art (2005)",,,On Hasht Behesht : A Selection of Iranian Regional Music [CD],Mahoor Institute of Culture and Art ,"Tehran, Iran",,"Disc 3, Track 5",2005,,,,,,,,,,24,,,Healing,,,,,Transcriptions/xml_raw/NHSDiscography-066.xml,xml,fcb6b42ffbb79addee32db57c22077e4
NHSDiscography-067,Berceuse / Lullaby,,"Chukotka Autonomous Okrug, Russia",65.6298355,171.6952159,Chukchee,pre-1997,,,"""Berceuse / Lullaby"" [Track 22]. On Russian Far North: The Chukchi [CD]. Boulogne, France: Auvidis (1997)",,,On Russian Far North: The Chukchi [CD],Auvidis ,"Boulogne, France",,Track 22,1997,,,,,,,,,,7,,,Lullaby,,,,,Transcriptions/xml_raw/NHSDiscography-067.xml,xml,06e247d34f2c5fe41fdfb08bba3dc27f
