id,dataset_id,title,title_translation,location,latitude,longitude,auto_geocoded,language,language_glottolog,culture,culture_dplace_id,culture_hraf_id,genre,performers,performer_genders,instrumentation,instrument_use,percussion_use,voice_use,tonality,scale,ambitus,tempo,meter,metric_classification,collectors,collection_date,collection_date_earliest,collection_date_latest,publication_key,publication_type,publication_title,publication_authors,publication_date,publication_page_num,publication_song_num,tune_family_id,catalogue_num,publication_preview_url,encoders,encoding_date,contributors,copyright,license_id,file_path,file_format,version,file_checksum,file_url,file_preview_url,file_has_lyrics,file_has_music,file_has_licence,other_fields,comments,warnings,description,lyrics
hs1_0006a,finnish-folk-tunes,,,Rauma,,,,,,,,,Koraalitoisinto,,,,,,,,,,,6/4,,,,,,,,,,,,,,,,Tuomas Eerola and Petri Toivainen,2004,,copyright © Tuomas Eerola & Petri Toiviainen,,,MIDI,,,,,False,True,,,,,,
hs1_0006b,finnish-folk-tunes,,,Uusikirkko ,,,,,,,,,Koraalitoisinto,,,,,,,,,,,6/4,,,,,,,,,,,,,,,,Tuomas Eerola and Petri Toivainen,2004,,copyright © Tuomas Eerola & Petri Toiviainen,,,MIDI,,,,,False,True,,,,,,
hs1_0006c,finnish-folk-tunes,,,Laitila,,,,,,,,,Koraalitoisinto,,,,,,,,,,,6/4,,,,,,,,,,,,,,,,Tuomas Eerola and Petri Toivainen,2004,,copyright © Tuomas Eerola & Petri Toiviainen,,,MIDI,,,,,False,True,,,,,,
hs1_0006d,finnish-folk-tunes,,,Eurajoki,,,,,,,,,Koraalitoisinto,,,,,,,,,,,3/2,,,,,,,,,,,,,,,,Tuomas Eerola and Petri Toivainen,2004,,copyright © Tuomas Eerola & Petri Toiviainen,,,MIDI,,,,,False,True,,,,,,
hs1_0006e,finnish-folk-tunes,,,Eurajoki,,,,,,,,,Koraalitoisinto,,,,,,,,,,,5/4,,,,,,,,,,,,,,,,Tuomas Eerola and Petri Toivainen,2004,,copyright © Tuomas Eerola & Petri Toiviainen,,,MIDI,,,,,False,True,,,,,,
hs1_0006f,finnish-folk-tunes,,,Eurajoki,,,,,,,,,Koraalitoisinto,,,,,,,,,,,5/4,,,,,,,,,,,,,,,,Tuomas Eerola and Petri Toivainen,2004,,copyright © Tuomas Eerola & Petri Toiviainen,,,MIDI,,,,,False,True,,,,,,
hs1_0006g,finnish-folk-tunes,,,Pori,,,,,,,,,Koraalitoisinto,,,,,,,,,,,5/4,,,,,,,,,,,,,,,,Tuomas Eerola and Petri Toivainen,2004,,copyright © Tuomas Eerola & Petri Toiviainen,,,MIDI,,,,,False,True,,,,,,
hs1_0006h,finnish-folk-tunes,,,Kauvatsa,,,,,,,,,Koraalitoisinto,,,,,,,,,,,5/4,,,,,,,,,,,,,,,,Tuomas Eerola and Petri Toivainen,2004,,copyright © Tuomas Eerola & Petri Toiviainen,,,MIDI,,,,,False,True,,,,,,
hs1_0006i,finnish-folk-tunes,,,,,,,,,,,,Koraalitoisinto,,,,,,,,,,,"5/4, 6/4",,,,,,,,,,,,,,,,Tuomas Eerola and Petri Toivainen,2004,,copyright © Tuomas Eerola & Petri Toiviainen,,,MIDI,,,,,False,True,,,,,,
hs1_0006j,finnish-folk-tunes,,,Pohjanmaa,,,,,,,,,Koraalitoisinto,,,,,,,,,,,3/2,,,7.10.1837,,,,,,,,,,,,,Tuomas Eerola and Petri Toivainen,2004,,copyright © Tuomas Eerola & Petri Toiviainen,,,MIDI,,,,,False,True,,,,,,
hs1_0006k,finnish-folk-tunes,,,Pohjois-Savo,,,,,,,,,Koraalitoisinto,,,,,,,,,,,3/2,,,,,,,,,,,,,,,,Tuomas Eerola and Petri Toivainen,2004,,copyright © Tuomas Eerola & Petri Toiviainen,,,MIDI,,,,,False,True,,,,,,
hs1_0006l,finnish-folk-tunes,,,Laukaa,,,,,,,,,Koraalitoisinto,,,,,,,,,,,6/2,,,,,,,,,,,,,,,,Tuomas Eerola and Petri Toivainen,2004,,copyright © Tuomas Eerola & Petri Toiviainen,,,MIDI,,,,,False,True,,,,,,
hs1_0006m,finnish-folk-tunes,,,Sortavalan pitäjä,,,,,,,,,Koraalitoisinto,,,,,,,,,,,4/4,,,,,,,,,,,,,,,,Tuomas Eerola and Petri Toivainen,2004,,copyright © Tuomas Eerola & Petri Toiviainen,,,MIDI,,,,,False,True,,,,,,
hs1_0006n,finnish-folk-tunes,,,Sortavalan pitäjä,,,,,,,,,Koraalitoisinto,,,,,,,,,,,3/2,,,,,,,,,,,,,,,,Tuomas Eerola and Petri Toivainen,2004,,copyright © Tuomas Eerola & Petri Toiviainen,,,MIDI,,,,,False,True,,,,,,
hs1_0007a,finnish-folk-tunes,,,Rauma,,,,,,,,,Koraalitoisinto,,,,,,,,,,,4/4,,,,,,,,,,,,,,,,Tuomas Eerola and Petri Toivainen,2004,,copyright © Tuomas Eerola & Petri Toiviainen,,,MIDI,,,,,False,True,,,,,,
hs1_0007b,finnish-folk-tunes,,,Pohjanmaa,,,,,,,,,Koraalitoisinto,,,,,,,,,,,4/4,,,,,,,,,,,,,,,,Tuomas Eerola and Petri Toivainen,2004,,copyright © Tuomas Eerola & Petri Toiviainen,,,MIDI,,,,,False,True,,,,,,
hs1_0007c,finnish-folk-tunes,,,,,,,,,,,,Koraalitoisinto,,,,,,,,,,,4/4,,,,,,,,,,,,,,,,Tuomas Eerola and Petri Toivainen,2004,,copyright © Tuomas Eerola & Petri Toiviainen,,,MIDI,,,,,False,True,,,,,,
hs1_0008,finnish-folk-tunes,,,Rauma,,,,,,,,,Koraalitoisinto,,,,,,,,,,,3/4,,,,,,,,,,,,,,,,Tuomas Eerola and Petri Toivainen,2004,,copyright © Tuomas Eerola & Petri Toiviainen,,,MIDI,,,,,False,True,,,,,,
hs1_0009,finnish-folk-tunes,,,Rauma,,,,,,,,,Koraalitoisinto,,,,,,,,,,,3/4,,,,,,,,,,,,,,,,Tuomas Eerola and Petri Toivainen,2004,,copyright © Tuomas Eerola & Petri Toiviainen,,,MIDI,,,,,False,True,,,,,,
hs1_0010,finnish-folk-tunes,,,Lapua,,,,,,,,,Koraalitoisinto,,,,,,,,,,,4/4,,,,,,,,,,,,,,,,Tuomas Eerola and Petri Toivainen,2004,,copyright © Tuomas Eerola & Petri Toiviainen,,,MIDI,,,,,False,True,,,,,,
hs1_0011a,finnish-folk-tunes,,,Pieksämäki,,,,,,,,,Koraalitoisinto,,,,,,,,,,,4/4,,,,,,,,,,,,,,,,Tuomas Eerola and Petri Toivainen,2004,,copyright © Tuomas Eerola & Petri Toiviainen,,,MIDI,,,,,False,True,,,,,,
hs1_0011b,finnish-folk-tunes,,,Porin maaseurakunta,,,,,,,,,Koraalitoisinto,,,,,,,,,,,4/4,,,,,,,,,,,,,,,,Tuomas Eerola and Petri Toivainen,2004,,copyright © Tuomas Eerola & Petri Toiviainen,,,MIDI,,,,,False,True,,,,,,
