id,dataset_id,title,title_eng,location,latitude,longitude,culture,collection_date,collector,performer,source,source_key,source_author,source_title,source_publisher,source_address,source_page_num,source_song_num,source_date,catalogue_number,source_url,encoder,encoding_date,copyright,license_abbr,version,meter,metric_classification,modality,key,ambitus,has_lyrics,has_music,genre,language,language_iso,url,preview_url,path,format,checksum
nova011,creighton-nova-scotia,Katharine Jaffray,,Canada; Nova Scotia,,,Folksongs of Maritime Canada,1928///-1932///,Helen Creighton,Mr. Ben Henneberry,,creighton1932nova,,,,,22,11,,,,Craig Stuart Sapp (music and bibliographic data)                       ,,,,,,,,,,False,True,,,,https://github.com/craigsapp/creighton-nova-scotia/blob/master/data/kern/nova011.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova011.krn,data/kern/nova011.krn,kern,89c009f66f56a2989b3dfa748ff90b60
nova012,creighton-nova-scotia,Song of a Soldier,,Canada; Nova Scotia,,,Folksongs of Maritime Canada,1928///-1932///,Helen Creighton,Mr. Allan Hartlan,,creighton1932nova,,,,,25,12,,,,Craig Stuart Sapp (music and bibliographic data)                       ,,,,,,,,,,False,True,,,,https://github.com/craigsapp/creighton-nova-scotia/blob/master/data/kern/nova012.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova012.krn,data/kern/nova012.krn,kern,8a9dc65ad37be5cf41e7f35bfbd87e35
nova013,creighton-nova-scotia,Turkish Rover,,Canada; Nova Scotia,,,Folksongs of Maritime Canada,1928///-1932///,Helen Creighton,Mr. Ben Henneberry,,creighton1932nova,,,,,26,13,,,,Craig Stuart Sapp (music and bibliographic data)                       ,,,,,,,,,,False,True,,,,https://github.com/craigsapp/creighton-nova-scotia/blob/master/data/kern/nova013.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova013.krn,data/kern/nova013.krn,kern,46d54d5dd7c159f6dd1b0ced98cb8601
nova014,creighton-nova-scotia,Well Sold the Cow,,Canada; Nova Scotia,,,Folksongs of Maritime Canada,1928///-1932///,Helen Creighton,Mr. Ben Henneberry,,creighton1932nova,,,,,29,14,,,,Craig Stuart Sapp (music and bibliographic data)                       ,,,,,,,,,,False,True,,,,https://github.com/craigsapp/creighton-nova-scotia/blob/master/data/kern/nova014.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova014.krn,data/kern/nova014.krn,kern,f3da434623e6f476289d3434f54ed3bc
nova015,creighton-nova-scotia,Annie,,Canada; Nova Scotia,,,Folksongs of Maritime Canada,1928///-1932///,Helen Creighton,Mr. Richard Hartlan,,creighton1932nova,,,,,32,15,,,,Craig Stuart Sapp (music and bibliographic data)                       ,,,,,,,,,,False,True,,,,https://github.com/craigsapp/creighton-nova-scotia/blob/master/data/kern/nova015.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova015.krn,data/kern/nova015.krn,kern,cc0ffd34e3503eddc219aa8653cfb513
nova016,creighton-nova-scotia,Butcher Boy,,Canada; Nova Scotia,,,Folksongs of Maritime Canada,1928///-1932///,Helen Creighton,Mr. Edward Hartley,,creighton1932nova,,,,,33,16,,,,Craig Stuart Sapp (music and bibliographic data)                       ,,,,,,,,,,False,True,,,,https://github.com/craigsapp/creighton-nova-scotia/blob/master/data/kern/nova016.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova016.krn,data/kern/nova016.krn,kern,f119c16a9ea2d3f8560a6d0e3b0c6be4
nova017,creighton-nova-scotia,Diana and Sweet William,,Canada; Nova Scotia,,,Folksongs of Maritime Canada,1928///-1932///,Helen Creighton,Mr. Ben Henneberry,,creighton1932nova,,,,,34,17,,,,Craig Stuart Sapp (music and bibliographic data)                       ,,,,,,,,,,False,True,,,,https://github.com/craigsapp/creighton-nova-scotia/blob/master/data/kern/nova017.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova017.krn,data/kern/nova017.krn,kern,34900254521d1d2d355782355c989f5c
nova018,creighton-nova-scotia,Villikens and His Dinah,,Canada; Nova Scotia,,,Folksongs of Maritime Canada,1928///-1932///,Helen Creighton,Miss Marion Henneberry and Miss Audrey Henneberry,,creighton1932nova,,,,,36,18,,,,Craig Stuart Sapp (music and bibliographic data)                       ,,,,,,,,,,False,True,,,,https://github.com/craigsapp/creighton-nova-scotia/blob/master/data/kern/nova018.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova018.krn,data/kern/nova018.krn,kern,fef8f309187881ab20a974973ef5a95b
nova019,creighton-nova-scotia,Green Bushes,,Canada; Nova Scotia,,,Folksongs of Maritime Canada,1928///-1932///,Helen Creighton,Mr. Richard Hartlan,,creighton1932nova,,,,,38,19,,,,Craig Stuart Sapp (music and bibliographic data)                       ,,,,,,,,,,False,True,,,,https://github.com/craigsapp/creighton-nova-scotia/blob/master/data/kern/nova019.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova019.krn,data/kern/nova019.krn,kern,e61475610ab6ef5552a39cd0f1dbf74f
nova020,creighton-nova-scotia,I Wrote My Love a Letter,,Canada; Nova Scotia,,,Folksongs of Maritime Canada,1928///-1932///,Helen Creighton,Miss Muriel Henneberry,,creighton1932nova,,,,,40,20,,,,Craig Stuart Sapp (music and bibliographic data)                       ,,,,,,,,,,False,True,,,,https://github.com/craigsapp/creighton-nova-scotia/blob/master/data/kern/nova020.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova020.krn,data/kern/nova020.krn,kern,727b387d7bd3d6ab31e2a742b12afcf7
nova021,creighton-nova-scotia,James McDonald,,Canada; Nova Scotia,,,Folksongs of Maritime Canada,1928///-1932///,Helen Creighton,Mr. Allan Henneberry,,creighton1932nova,,,,,42,21,,,,Craig Stuart Sapp (music and bibliographic data)                       ,,,,,,,,,,False,True,,,,https://github.com/craigsapp/creighton-nova-scotia/blob/master/data/kern/nova021.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova021.krn,data/kern/nova021.krn,kern,254924bba902b2dc4e16174abcaede3a
nova022,creighton-nova-scotia,Jocky Said to Jinnie,,Canada; Nova Scotia,,,Folksongs of Maritime Canada,1928///-1932///,Helen Creighton,Mrs. William McNab,,creighton1932nova,,,,,45,22,,,,Craig Stuart Sapp (music and bibliographic data)                       ,,,,,,,,,,False,True,,,,https://github.com/craigsapp/creighton-nova-scotia/blob/master/data/kern/nova022.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova022.krn,data/kern/nova022.krn,kern,98542b69d3131ec97c8b7f35542ad508
nova023,creighton-nova-scotia,Quaker's Courtship,,Canada; Nova Scotia,,,Folksongs of Maritime Canada,1928///-1932///,Helen Creighton,Mr. Ben Henneberry,,creighton1932nova,,,,,46,23,,,,Craig Stuart Sapp (music and bibliographic data)                       ,,,,,,,,,,False,True,,,,https://github.com/craigsapp/creighton-nova-scotia/blob/master/data/kern/nova023.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova023.krn,data/kern/nova023.krn,kern,d30c4a24dfb0f10a5f89cac73e2b0cf8
nova024,creighton-nova-scotia,Rich Counsellor,,Canada; Nova Scotia,,,Folksongs of Maritime Canada,1928///-1932///,Helen Creighton,Mr. Ben Henneberry,,creighton1932nova,,,,,47,24,,,,Craig Stuart Sapp (music and bibliographic data)                       ,,,,,,,,,,False,True,,,,https://github.com/craigsapp/creighton-nova-scotia/blob/master/data/kern/nova024.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova024.krn,data/kern/nova024.krn,kern,9e9d9bbd37e0bcef1a08be8445c46ac0
nova025,creighton-nova-scotia,Silvy,,Canada; Nova Scotia,,,Folksongs of Maritime Canada,1928///-1932///,Helen Creighton,Mr. Ben Henneberry,,creighton1932nova,,,,,51,25,,,,Craig Stuart Sapp (music and bibliographic data)                       ,,,,,,,,,,False,True,,,,https://github.com/craigsapp/creighton-nova-scotia/blob/master/data/kern/nova025.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova025.krn,data/kern/nova025.krn,kern,b268024450807e654666352dc195fd2a
nova026,creighton-nova-scotia,When I Was in My Prime,,Canada; Nova Scotia,,,Folksongs of Maritime Canada,1928///-1932///,Helen Creighton,Mr. Enos Hartlan,,creighton1932nova,,,,,53,26,,,,Craig Stuart Sapp (music and bibliographic data)                       ,,,,,,,,,,False,True,,,,https://github.com/craigsapp/creighton-nova-scotia/blob/master/data/kern/nova026.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova026.krn,data/kern/nova026.krn,kern,4ff9f19f3703b3d9e151e7565f2a14d4
nova027,creighton-nova-scotia,Broken Ring Song Fragment,,Canada; Nova Scotia,,,Folksongs of Maritime Canada,1928///-1932///,Helen Creighton,Mr. Edward Hartley,,creighton1932nova,,,,,55,27,,,,Craig Stuart Sapp (music and bibliographic data)                       ,,,,,,,,,,False,True,,,,https://github.com/craigsapp/creighton-nova-scotia/blob/master/data/kern/nova027.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova027.krn,data/kern/nova027.krn,kern,dd15abce08d4e142d93ad063fe7bb293
nova028,creighton-nova-scotia,Broken Ring,,Canada; Nova Scotia,,,Folksongs of Maritime Canada,1928///-1932///,Helen Creighton,Mrs. Agnes Gorham,,creighton1932nova,,,,,56,28,,,,Craig Stuart Sapp (music and bibliographic data)                       ,,,,,,,,,,False,True,,,,https://github.com/craigsapp/creighton-nova-scotia/blob/master/data/kern/nova028.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova028.krn,data/kern/nova028.krn,kern,9aad2cba5e0458353b87d85202ab781c
nova029,creighton-nova-scotia,The Dark-Eyed Sailor,,Canada; Nova Scotia,,,Folksongs of Maritime Canada,1928///-1932///,Helen Creighton,Mrs. Thomas Osborne,,creighton1932nova,,,,,58,29,,,,Craig Stuart Sapp (music and bibliographic data)                       ,,,,,,,,,,False,True,,,,https://github.com/craigsapp/creighton-nova-scotia/blob/master/data/kern/nova029.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova029.krn,data/kern/nova029.krn,kern,114cdf94ed75aba8a1aa1f77371d9d5c
nova030,creighton-nova-scotia,Mantle So Green,,Canada; Nova Scotia,,,Folksongs of Maritime Canada,1928///-1932///,Helen Creighton,Mr. Ben Henneberry,,creighton1932nova,,,,,60,30,,,,Craig Stuart Sapp (music and bibliographic data)                       ,,,,,,,,,,False,True,,,,https://github.com/craigsapp/creighton-nova-scotia/blob/master/data/kern/nova030.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova030.krn,data/kern/nova030.krn,kern,b945dc1feebb772ad39192d31fdcc26a
nova031,creighton-nova-scotia,Bessie Beauty,,Canada; Nova Scotia,,,Folksongs of Maritime Canada,1928///-1932///,Helen Creighton,Mr. Al Coolen,,creighton1932nova,,,,,62,31,,,,Craig Stuart Sapp (music and bibliographic data)                       ,,,,,,,,,,False,True,,,,https://github.com/craigsapp/creighton-nova-scotia/blob/master/data/kern/nova031.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova031.krn,data/kern/nova031.krn,kern,48685cb62c33ab27e6e597986e96f20b
nova032,creighton-nova-scotia,Billy Taylor,,Canada; Nova Scotia,,,Folksongs of Maritime Canada,1928///-1932///,Helen Creighton,Mrs. William McNab,,creighton1932nova,,,,,64,32,,,,Craig Stuart Sapp (music and bibliographic data)                       ,,,,,,,,,,False,True,,,,https://github.com/craigsapp/creighton-nova-scotia/blob/master/data/kern/nova032.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova032.krn,data/kern/nova032.krn,kern,3a18e993fb9783682ca51198f1643ffc
nova033,creighton-nova-scotia,Caroline and Her Young Sailor Bold,,Canada; Nova Scotia,,,Folksongs of Maritime Canada,1928///-1932///,Helen Creighton,Mrs. Thomas Osborne,,creighton1932nova,,,,,66,33,,,,Craig Stuart Sapp (music and bibliographic data)                       ,,,,,,,,,,False,True,,,,https://github.com/craigsapp/creighton-nova-scotia/blob/master/data/kern/nova033.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova033.krn,data/kern/nova033.krn,kern,f4962d98769704ab5d726acf8ed563bf
nova034,creighton-nova-scotia,Female Sailor Bold,,Canada; Nova Scotia,,,Folksongs of Maritime Canada,1928///-1932///,Helen Creighton,Mr. Ben Henneberry,,creighton1932nova,,,,,68,34,,,,Craig Stuart Sapp (music and bibliographic data)                       ,,,,,,,,,,False,True,,,,https://github.com/craigsapp/creighton-nova-scotia/blob/master/data/kern/nova034.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova034.krn,data/kern/nova034.krn,kern,887e6047db3d33d403f45b8b99a28407
nova035,creighton-nova-scotia,The Gay Spanish Maid,,Canada; Nova Scotia,,,Folksongs of Maritime Canada,1928///-1932///,Helen Creighton,Mrs. Grantmyre,,creighton1932nova,,,,,71,35,,,,Craig Stuart Sapp (music and bibliographic data)                       ,,,,,,,,,,False,True,,,,https://github.com/craigsapp/creighton-nova-scotia/blob/master/data/kern/nova035.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova035.krn,data/kern/nova035.krn,kern,c263d5ffc1c35768942dbf9576811f95
nova036,creighton-nova-scotia,Gallant Brigantine,,Canada; Nova Scotia,,,Folksongs of Maritime Canada,1928///-1932///,Helen Creighton,Mr. Tom Henneberry and Mr. Ben Henneberry,,creighton1932nova,,,,,73,36,,,,Craig Stuart Sapp (music and bibliographic data)                       ,,,,,,,,,,False,True,,,,https://github.com/craigsapp/creighton-nova-scotia/blob/master/data/kern/nova036.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova036.krn,data/kern/nova036.krn,kern,01b17155fe29a179f5594f65b39a6374
nova037,creighton-nova-scotia,Homeward Bound,,Canada; Nova Scotia,,,Folksongs of Maritime Canada,1928///-1932///,Helen Creighton,Mr. Ben Henneberry,,creighton1932nova,,,,,75,37,,,,Craig Stuart Sapp (music and bibliographic data)                       ,,,,,,,,,,False,True,,,,https://github.com/craigsapp/creighton-nova-scotia/blob/master/data/kern/nova037.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova037.krn,data/kern/nova037.krn,kern,dd479b9f5b54472ee5e51b9377abe07d
nova038,creighton-nova-scotia,It Is of a Rich Lady,,Canada; Nova Scotia,,,Folksongs of Maritime Canada,1928///-1932///,Helen Creighton,Mr. Richard Hartlan,,creighton1932nova,,,,,76,38,,,,Craig Stuart Sapp (music and bibliographic data)                       ,,,,,,,,,,False,True,,,,https://github.com/craigsapp/creighton-nova-scotia/blob/master/data/kern/nova038.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova038.krn,data/kern/nova038.krn,kern,d4655beb83899ab1b2847271d576f793
nova039,creighton-nova-scotia,Jack the Sailor,,Canada; Nova Scotia,,,Folksongs of Maritime Canada,1928///-1932///,Helen Creighton,,,creighton1932nova,,,,,78,39,,,,Craig Stuart Sapp (music and bibliographic data)                       ,,,,,,,,,,False,True,,,,https://github.com/craigsapp/creighton-nova-scotia/blob/master/data/kern/nova039.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova039.krn,data/kern/nova039.krn,kern,819a20efeef0abd21782954a49c36375
nova040,creighton-nova-scotia,Jack Robson,,Canada; Nova Scotia,,,Folksongs of Maritime Canada,1928///-1932///,Helen Creighton,Mr. Ben Henneberry,,creighton1932nova,,,,,79,40,,,,Craig Stuart Sapp (music and bibliographic data)                       ,,,,,,,,,,False,True,,,,https://github.com/craigsapp/creighton-nova-scotia/blob/master/data/kern/nova040.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova040.krn,data/kern/nova040.krn,kern,af695257406c1f4c3300330cdb58cc7c
