id,dataset_id,title,title_translation,location,latitude,longitude,auto_geocoded,language,glottolog_id,culture,culture_dplace_id,culture_hraf_id,genres,performers,performer_genders,instrumentation,instrument_use,percussion_use,voice_use,tonality,scale,ambitus,tempo,meter,metric_classification,collectors,collection_date,collection_date_earliest,collection_date_latest,publication_key,publication_type,publication_title,publication_authors,publication_date,publication_page_num,publication_song_num,tune_family_id,catalogue_num,publication_preview_url,encoders,encoding_date,contributors,copyright,license_id,file_path,file_format,version,file_checksum,file_url,file_preview_url,file_has_lyrics,file_has_music,file_has_licence,other_fields,comments,warnings,description,lyrics
p1007,pinck-verklingende-weisen,O Soldat,,Lothringen,,,,,,,,,soldier's song,,,,,,,D,heptatonic ionian,8,,2/4 ,,"O Soldat (3-35), S. 110",,,,pinck1933verklingende3,,,,,110,35,,,,Damien Sagrillo,,,,,data/p1007.krn,kern,,1c8be6de05e79ee021d28385b0744d3b,http://verovio.humdrum.org/?file=sagrillo/lorraine/p1007.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=p1007.krn&l=users/sagrillo/lorraine&format=kern,False,True,,"{""minrhy"": ""8"", ""meters"": ""2/4 ]  ZZ[4"", ""rhy1"": ""X_X_  X_.X  X__  XXX_  X_XX  X__  0_"", ""rhy2"": ""XX  X_X_  X_.X  X__  XXX_  X_XX  X__  0_"", ""key"": ""P1007  08  D 2/4 ]  ZZ[4"", ""kad"": ""3353"", ""akz"": ""155453_155453_14+1755_+172653_"", ""fot"": ""'a__av_b__c__  ANA: a__b__c__d__ "", ""for"": ""'a__av_b__c__"", ""fok"": ""'^a_S__Wa_\\__"", ""n7k"": ""0] N7[0] O1[0] O2K[0] O2[0] O3K[0] O3[0] H\u00d6[0""}",,,,
p1008,pinck-verklingende-weisen,"Zu Straßburg, zu Straßburg",,Lothringen,,,,,,,,,soldier's song,,,,,,,F,heptatonic ionian,9,,2/4 ,,"Zu Stra&szlig;burg, zu Stra&szlig;burg (3-36), S. 113",,,,pinck1933verklingende3,,,,,113,36,,,,Damien Sagrillo,,,,,data/p1008.krn,kern,,a8b1c257fb7f7045b512e27cfcb44102,http://verovio.humdrum.org/?file=sagrillo/lorraine/p1008.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=p1008.krn&l=users/sagrillo/lorraine&format=kern,False,True,,"{""minrhy"": ""16"", ""meters"": ""2/4 ]  ZZ[6"", ""rhy1"": ""X_  X__X_X_  X__X_   (x2)"", ""rhy2"": ""X_  X_X_X_X_  X__0"", ""key"": ""P1008  16  F 2/4 ]  ZZ[6"", ""kad"": ""121511"", ""akz"": ""12_32_45_51_65_51_"", ""fot"": ""'a__b__c__as\""cw_a__"", ""for"": ""'a__b__bw_c__bw_cw_"", ""fok"": ""'/__^__^d_V__^d_\\__"", ""n7k"": ""0] N7[0] O1[0] O2K[0] O2[0] O3K[0] O3[0] H\u00d6[0""}",,,,
p1009,pinck-verklingende-weisen,Gesellenlied,,Lothringen,,,,,,,,,work|love,,,,,,,G,heptatonic ionian,9,,4/4 ,,"Gesellenlied (3-37), S. 115",,,,pinck1933verklingende3,,,,,115,37,,,,Damien Sagrillo,,,,,data/p1009.krn,kern,,27f2c04f74bdccdc5df5832847e7b804,http://verovio.humdrum.org/?file=sagrillo/lorraine/p1009.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=p1009.krn&l=users/sagrillo/lorraine&format=kern,False,True,,"{""minrhy"": ""8"", ""meters"": ""4/4 ]  ZZ[7"", ""rhy1"": ""X_  X_.XX_X_  X_X_X_"", ""rhy2"": ""XX  X_X_X_X_  X__0_"", ""key"": ""P1009  08  G 4/4 ]  ZZ[7"", ""kad"": ""1252113"", ""akz"": ""1311_422_3335_6422_321_2331_2353_"", ""fot"": ""'a__b__c__as\""d__e__f__"", ""for"": ""'a__b__bw_bw_c__d__cv_"", ""fok"": ""'^a_^__/__\\__\\__^d_^a_"", ""n7k"": ""0] N7[0] O1[0] O2K[0] O2[0] O3K[0] O3[0] H\u00d6[0""}",,,,
p1010,pinck-verklingende-weisen,"Adje, jetzt muß ich fort",,Lothringen,,,,,,,,,farewell,,,,,,,G,hexatonic minor,9b,,2/4 4/4 ,,"Adje, jetzt mu&szlig; ich fort (3-38), S. 117",,,,pinck1933verklingende3,,,,,117,38,,,,Damien Sagrillo,,,,,data/p1010.krn,kern,,4ded1f5fb7ac92c5e5f9d298613b99fa,http://verovio.humdrum.org/?file=sagrillo/lorraine/p1010.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=p1010.krn&l=users/sagrillo/lorraine&format=kern,False,True,,"{""minrhy"": ""16"", ""meters"": ""2/4 4/4 ]  ZZ[5"", ""rhy1"": ""X_.X  X__X__X_X_X_X_  X___0__"", ""rhy2"": ""X__  X__X__X_X_X_X_  X___0__"", ""key"": ""P1010  16  G 2/4 4/4 ]  ZZ[5"", ""kad"": ""53b211"", ""akz"": ""13b5_6b43b_554_423b1_51_"", ""fot"": ""'a__b__c__d__cw_"", ""for"": ""'a__av_b__c__bw_"", ""fok"": ""'/__\\__^d_Sd_\\__"", ""n7k"": ""0] N7[0] O1[0] O2K[0] O2[0] O3K[0] O3[0] H\u00d6[0""}",,,,
p1011,pinck-verklingende-weisen,Falscher Sinn,,Lothringen,,,,,,,,,love|marriage proposal,,,,,,,G,heptatonic aeolean,7b,,3/4 ,,"Falscher Sinn (3-39), S. 119",,,,pinck1933verklingende3,,,,,119,39,,,,Damien Sagrillo,,,,,data/p1011.krn,kern,,1ad693f55242566222de9d52df888229,http://verovio.humdrum.org/?file=sagrillo/lorraine/p1011.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=p1011.krn&l=users/sagrillo/lorraine&format=kern,False,True,,"{""minrhy"": ""16"", ""meters"": ""3/4 ]  ZZ[5"", ""rhy1"": ""X_X_  X___X__  X___X__  X___"", ""rhy2"": ""X__  X___X__  X___X__  X___X__  XX___^_.  0___"", ""key"": ""P1011  16  G 3/4 ]  ZZ[5"", ""kad"": ""15141"", ""akz"": ""3b21_-7b3b54_56b51_1224_3b21_"", ""fot"": ""'a__b__c__d__aw_"", ""for"": ""'a__aw_b__c__d__"", ""fok"": ""'^a_/__^d_/__\\__"", ""n7k"": ""0] N7[0] O1[0] O2K[0] O2[0] O3K[0] O3[0] H\u00d6[0""}",,,,
p1012,pinck-verklingende-weisen,Kohlerlied,,Lothringen,,,,,,,,,work,,,,,,,G,heptatonic ionian,7b,,3/4 ,,"Kohlerlied (3-40), S. 122",,,,pinck1933verklingende3,,,,,122,40,,,,Damien Sagrillo,,,,,data/p1012.krn,kern,,72ecf125644abd0064c91696cd12f430,http://verovio.humdrum.org/?file=sagrillo/lorraine/p1012.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=p1012.krn&l=users/sagrillo/lorraine&format=kern,False,True,,"{""minrhy"": ""4"", ""meters"": ""3/4 ]  ZZ[4"", ""rhy1"": ""X  X_X  X_X  X_X  XX"", ""rhy2"": ""X  XXX  XXX  XXX  X_"", ""key"": ""P1012  04  G 3/4 ]  ZZ[4"", ""kad"": ""1-531"", ""akz"": ""-51-72_21-5-5_1243_32-51_"", ""fot"": ""'a__b__c__d__"", ""for"": ""'a__b__b__c__"", ""fok"": ""'/__\\__/__~a_"", ""n7k"": ""0] N7[0] O1[4] O2K[0] O2[0] O3K[0] O3[0] H\u00d6[0""}",,,,
p1013,pinck-verklingende-weisen,Besenbinders Tochter,,Lothringen,,,,,,,,,work|love,,,,,,,F,hexatonic minor,11,,2/4 ,,"Besenbinders Tochter (3-41), S. 124",,,,pinck1933verklingende3,,,,,124,41,,,,Damien Sagrillo,,,,,data/p1013.krn,kern,,688f0706004867fc3815fcf55d96d405,http://verovio.humdrum.org/?file=sagrillo/lorraine/p1013.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=p1013.krn&l=users/sagrillo/lorraine&format=kern,False,True,,"{""minrhy"": ""16"", ""meters"": ""2/4 ]  ZZ[4"", ""rhy1"": ""X_  X_.XX_X_  X__X_"", ""rhy2"": ""X_  X__X_X_  X__0_"", ""key"": ""P1013  16  F 2/4 ]  ZZ[4"", ""kad"": ""5531"", ""akz"": ""15_65_43_21_"", ""fot"": ""'a__b__c__bs'"", ""for"": ""'a__b__a__c__"", ""fok"": ""'/__^__\\__^__"", ""n7k"": ""0] N7[0] O1[0] O2K[0] O2[0] O3K[0] O3[0] H\u00d6[0""}",,,,
p1014,pinck-verklingende-weisen,Der lustige Nagelschmied,,Lothringen,,,,,,,,,work,,,,,,,G,tetratonic,5,,2/4 ,,"Der lustige Nagelschmied (3-42), S. 127",,,,pinck1933verklingende3,,,,,127,42,,,,Damien Sagrillo,,,,,data/p1014.krn,kern,,06f8b318775f60a23cb9aec58e872537,http://verovio.humdrum.org/?file=sagrillo/lorraine/p1014.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=p1014.krn&l=users/sagrillo/lorraine&format=kern,False,True,,"{""minrhy"": ""16"", ""meters"": ""2/4 ]  ZZ[4"", ""rhy1"": ""X_X_X_X_  X_X_X__"", ""rhy2"": ""X_X_X_XX  X_X_X_0"", ""key"": ""P1014  16  G 2/4 ]  ZZ[4"", ""kad"": ""2123"", ""akz"": ""11_33_11_33_"", ""fot"": ""'a__as\""av_as\"""", ""for"": ""'a__b__av_bw_"", ""fok"": ""'/__Sd_/__S__"", ""n7k"": ""0] N7[0] O1[0] O2K[0] O2[0] O3K[0] O3[0] H\u00d6[0""}",,,,
p1015,pinck-verklingende-weisen,Seidenweberlied,,Lothringen,,,,,,,,,work,,,,,,,G,heptatonic ionian,8,,4/4 ,,"Seidenweberlied (3-43), S. 129",,,,pinck1933verklingende3,,,,,129,43,,,,Damien Sagrillo,,,,,data/p1015.krn,kern,,e9a06488a97ecac3b1174eb87b6280c4,http://verovio.humdrum.org/?file=sagrillo/lorraine/p1015.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=p1015.krn&l=users/sagrillo/lorraine&format=kern,False,True,,"{""minrhy"": ""8"", ""meters"": ""4/4 ]  ZZ[4"", ""rhy1"": ""XX  X_X_X_X_  X__X_"", ""rhy2"": ""XX  X_X_X_XX  X__0_"", ""key"": ""P1015  08  G 4/4 ]  ZZ[4"", ""kad"": ""2321"", ""akz"": ""1132_223_11-62_331_"", ""fot"": ""'a__b__aw_a__"", ""for"": ""'a__b__c__d__"", ""fok"": ""'/__/__Va_\\__"", ""n7k"": ""0] N7[0] O1[0] O2K[0] O2[0] O3K[0] O3[0] H\u00d6[0""}",,,,
p1016,pinck-verklingende-weisen,Schneider-Verschwörung,,Lothringen,,,,,,,,,work,,,,,,,A,heptatonic dorian,9,,3/4 ,,"Schneider-Verschwörung (3-44), S. 131",,,,pinck1933verklingende3,,,,,131,44,,,,Damien Sagrillo,,,,,data/p1016.krn,kern,,8f3a91ea51131eacda495a1cbcc8e42a,http://verovio.humdrum.org/?file=sagrillo/lorraine/p1016.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=p1016.krn&l=users/sagrillo/lorraine&format=kern,False,True,,"{""minrhy"": ""16"", ""meters"": ""3/4 ]  ZZ[8"", ""rhy1"": ""X__  X__X__X__  X_XXX__X__  X__X__X__  X__X__"", ""rhy2"": ""X__  X___X__  X__X__X__  X___.  X___"", ""key"": ""P1016  16  A 3/4 ]  ZZ[8"", ""kad"": ""-7b3b1-7b2-451"", ""akz"": ""-411-7b_-7b3b3b3b_211_-411-7b_-7b3b22_-7b-6-4_-7b55_3b21_"", ""fot"": ""'a__b__c__av_d__e__bs\""es\"""", ""for"": ""'a__b__c__d__e__f__g__h__"", ""fok"": ""'^a_/__\\__^a_/__\\__/__\\__"", ""n7k"": ""0] N7[0] O1[0] O2K[0] O2[0] O3K[0] O3[0] H\u00d6[0""}",,,,
p1017,pinck-verklingende-weisen,Bauer und Schneider,,Lothringen,,,,,,,,,work,,,,,,,G,heptatonic ionian,9,,3/4 ,,"Bauer und Schneider (3-45), S. 133",,,,pinck1933verklingende3,,,,,133,45,,,,Damien Sagrillo,,,,,data/p1017.krn,kern,,ce342bf6653e6e2e6629f95546622ffd,http://verovio.humdrum.org/?file=sagrillo/lorraine/p1017.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=p1017.krn&l=users/sagrillo/lorraine&format=kern,False,True,,"{""minrhy"": ""8"", ""meters"": ""3/4 ]  ZZ[4"", ""rhy1"": ""X_  X__X_  X_.XX_  X__X_  X_X_"", ""rhy2"": ""XX  X_.XX_  X_X_X_  X_X_X_  X_X_"", ""key"": ""P1017  08  G 3/4 ]  ZZ[4"", ""kad"": ""1-551"", ""akz"": ""5531_31-7-5_135_531_"", ""fot"": ""'a__b__c__d__"", ""for"": ""'a__b__c__d__"", ""fok"": ""'^__\\__/__\\__"", ""n7k"": ""11] N7[0] O1[6] O2K[0] O2[2] O3K[0] O3[0] H\u00d6[0""}",,,,
p1018,pinck-verklingende-weisen,Das Lied vom Ackersmann,,Lothringen,,,,,,,,,work,,,,,,,D,heptatonic dorian,9,,2/4 3/4 ,,"Das Lied vom Ackersmann (3-46), S. 137",,,,pinck1933verklingende3,,,,,137,46,,,,Damien Sagrillo,,,,,data/p1018.krn,kern,,2e678e6fe5478a72780aa8dcb319887d,http://verovio.humdrum.org/?file=sagrillo/lorraine/p1018.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=p1018.krn&l=users/sagrillo/lorraine&format=kern,False,True,,"{""minrhy"": ""8"", ""meters"": ""2/4 3/4 ]  ZZ[5"", ""rhy1"": ""XX  XXX_  X_.XX_  X_X_  X__"", ""rhy2"": ""X_  X_XX  X_.XX_  X_X_  X__"", ""key"": ""P1018  08  D 2/4 3/4 ]  ZZ[5"", ""kad"": ""45511"", ""akz"": ""1564_5+17b5_57b7b5_643b1_3b55521_"", ""fot"": ""'a__b__c__d__e__"", ""for"": ""'a__b__c__d__e__"", ""fok"": ""'Sa_^a_^__\\__M__"", ""n7k"": ""0] N7[0] O1[0] O2K[0] O2[0] O3K[0] O3[0] H\u00d6[0""}",,,,
