id,dataset_id,title,title_translation,location,latitude,longitude,auto_geocoded,language,language_glottolog,culture,culture_dplace_id,culture_hraf_id,genre,performers,performer_genders,instrumentation,instrument_use,percussion_use,voice_use,tonality,scale,ambitus,tempo,meter,metric_classification,collectors,collection_date,collection_date_earliest,collection_date_latest,publication_key,publication_type,publication_title,publication_authors,publication_date,publication_page_num,publication_song_num,tune_family_id,catalogue_num,publication_preview_url,encoders,encoding_date,contributors,copyright,license_id,file_path,file_format,version,file_checksum,file_url,file_preview_url,file_has_lyrics,file_has_music,file_has_licence,other_fields,comments,warnings,description,lyrics
nootka021,densmore-nootka,"""The Rattle is my Tumanos""",,"Neah Bay, Washington, U.S.A",48.365556,-124.615556,False,Makah,maka1318,Makah,,,potlatch songs,Young Doctor,male,voice,False,False,True,,,,84,,,Frances Densmore,,1923,1926,densmore1939nootka,,,,,83,21,,1298,https://babel.hathitrust.org/cgi/pt?id=mdp.39015025347033&seq=135,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,"data/No__21_""The_Rattle_is_my_Tumanos"".krn",kern,,d0ae4cbb711b81a9a7288e860060dee3,,,False,True,,"{""language_type"": ""Non-Tone"", ""language_family"": ""Wakashan"", ""functions"": [""ceremonial"", ""harvest"", ""harvest""]}",,,,
nootka022,densmore-nootka,Potlatch Song,,"Neah Bay, Washington, U.S.A",48.365556,-124.615556,False,Makah,maka1318,Makah,,,potlatch songs,Young Doctor,male,voice|drum,True,True,True,,,,63,,,Frances Densmore,,1923,1926,densmore1939nootka,,,,,84,22,,1318,https://babel.hathitrust.org/cgi/pt?id=mdp.39015025347033&seq=136,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_22_Potlatch_Song.krn,kern,,8efb067ecfbb724e5b8003a1c50f41f9,,,False,True,,"{""language_type"": ""Non-Tone"", ""language_family"": ""Wakashan"", ""functions"": [""ceremonial"", ""harvest"", ""harvest""]}",,,,
nootka023,densmore-nootka,Song of Santiano at a Potlatch,,"Neah Bay, Washington, U.S.A",48.365556,-124.615556,False,Makah,maka1318,Makah,,,songs with contest of medicine after potlatch,Young Doctor,male,voice,False,False,True,,,,84,,,Frances Densmore,,1923,1926,densmore1939nootka,,,,,85,23,,1327,https://babel.hathitrust.org/cgi/pt?id=mdp.39015025347033&seq=137,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No__23_Song_of_Santiano_at_a_Potlatch.krn,kern,,45c77ed5e93a011bc6051186a04d7196,,,False,True,,"{""language_type"": ""Non-Tone"", ""language_family"": ""Wakashan"", ""functions"": ""healing""}",,,,
nootka024,densmore-nootka,Song Concerning a Man's Tumanos,,"Neah Bay, Washington, U.S.A",48.365556,-124.615556,False,Makah,maka1318,Makah,,,songs with contests of medicine after potlatch,Young Doctor,male,voice,False,False,True,,,,84,,,Frances Densmore,,1923,1926,densmore1939nootka,,,,,86,24,,1303,https://babel.hathitrust.org/cgi/pt?id=mdp.39015025347033&seq=138,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_24_Song_Concerning_a_Man's_Tumanos.krn,kern,,6bab9ee052d32a2157ab523925575181,,,False,True,,"{""language_type"": ""Non-Tone"", ""language_family"": ""Wakashan"", ""functions"": ""healing""}",,,,
nootka025,densmore-nootka,Song Challenging to Contest of Strength (a),,"Neah Bay, Washington, U.S.A",48.365556,-124.615556,False,Makah,maka1318,Makah,,,songs with contest of physical strength,Young Doctor,male,voice,False,False,True,,,,66,,,Frances Densmore,,1923,1926,densmore1939nootka,,,,,87,25,,1315,https://babel.hathitrust.org/cgi/pt?id=mdp.39015025347033&seq=139,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_25_Song_Challenging_to_Contest_of_Strength_(a).krn,kern,,298c6e22db04c853d614ae6f723533ff,,,False,True,,"{""language_type"": ""Non-Tone"", ""language_family"": ""Wakashan"", ""functions"": ""game""}",,,,
nootka026,densmore-nootka,Song Challenging to Contest of Strength (b),,"Neah Bay, Washington, U.S.A",48.365556,-124.615556,False,Makah,maka1318,Makah,,,songs with contest of physical strength,Young Doctor,male,voice,False,False,True,,,,72,,,Frances Densmore,,1923,1926,densmore1939nootka,,,,,88,26,,1316,https://babel.hathitrust.org/cgi/pt?id=mdp.39015025347033&seq=140,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No__26_Song_Challenging_to_Contest_of_Strength_(b).krn,kern,,32125151bed9ddcf726e298736b203f0,,,False,True,,"{""language_type"": ""Non-Tone"", ""language_family"": ""Wakashan"", ""functions"": ""game""}",,,,
nootka027,densmore-nootka,Song Challenging to Contest of Strength (c),,"Neah Bay, Washington, U.S.A",48.365556,-124.615556,False,Makah,maka1318,Makah,,,songs with contest of physical strength,Young Doctor,male,voice,False,False,True,,,,60,,,Frances Densmore,,1923,1926,densmore1939nootka,,,,,89,27,,1317,https://babel.hathitrust.org/cgi/pt?id=mdp.39015025347033&seq=141,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No__27_Song_Challenging_to_Contest_of_Strength_(c).krn,kern,,abac42bb84d098700cf6cd375e436cd8,,,False,True,,"{""language_type"": ""Non-Tone"", ""language_family"": ""Wakashan"", ""functions"": ""game""}",,,,
nootka028,densmore-nootka,Song of Women's Dance (a),,"Neah Bay, Washington, U.S.A",48.365556,-124.615556,False,Makah,maka1318,Makah,,,songs of women's dance,Young Doctor,male,voice|drum,True,True,True,,,,66,,,Frances Densmore,,1923,1926,densmore1939nootka,,,,,90,28,,1334,https://babel.hathitrust.org/cgi/pt?id=mdp.39015025347033&seq=142,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No__28_Song_of_Women's_Dance_(a).krn,kern,,b1cc3ce4b76ec743109241e048b29482,,,False,True,,"{""language_type"": ""Non-Tone"", ""language_family"": ""Wakashan"", ""functions"": ""dance""}",,,,
nootka029,densmore-nootka,Song of Women's Dance (b),,"Neah Bay, Washington, U.S.A",48.365556,-124.615556,False,Makah,maka1318,Makah,,,song with women's dance,Young Doctor,male,voice|drum,True,True,True,,,,76,,,Frances Densmore,,1923,1926,densmore1939nootka,,,,,91,29,,1335,https://babel.hathitrust.org/cgi/pt?id=mdp.39015025347033&seq=143,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_29_Song_of_Women's_Dance_(b).krn,kern,,c9cb0f1e7b4b5802639b9b21d683ecea,,,False,True,,"{""language_type"": ""Non-Tone"", ""language_family"": ""Wakashan"", ""functions"": [""dance"", ""women""]}",,,,
nootka030,densmore-nootka,Song of the Kwekwasa Dance (a),,"Neah Bay, Washington, U.S.A",48.365556,-124.615556,False,Makah,maka1318,Makah,,,songs with kwekwasa dance,Young Doctor,male,voice,False,False,True,,,,69,,,Frances Densmore,,1923,1926,densmore1939nootka,,,,,92,30,,1336,https://babel.hathitrust.org/cgi/pt?id=mdp.39015025347033&seq=144,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No__30_Song_of_the_Kwekwasa_Dance_(a).krn,kern,,841b36159bee72a19900e949e9628209,,,False,True,,"{""language_type"": ""Non-Tone"", ""language_family"": ""Wakashan"", ""functions"": ""dance""}",,,,
