id,song_num,page_num,catalogue_num,performer,performer_gender,culture,tonality,bpm_voice,bpm_drum,bpm,instrument_use,percussion_use,instrumentation
nootka084,84,168,1429,Chester Wandahart,male,Makah,,88,72,mixed,TRUE,TRUE,voice|drum
nootka085,85,169,1471,Mrs. Annie Long Tom,female,Clayoquot,,52,,52,FALSE,FALSE,voice
nootka086,86,169,1472,Mrs. Annie Long Tom,female,Clayoquot,,66,,66,FALSE,FALSE,voice
nootka087,87,170,1473,Mrs. Annie Long Tom,female,Clayoquot,,76,,76,FALSE,FALSE,voice
nootka088,88,171,1474,Mrs. Annie Long Tom,female,Clayoquot,,80,,80,FALSE,FALSE,voice
nootka089,89,172,1466,Mrs. Annie Long Tom,female,Clayoquot,,65,56,mixed,TRUE,TRUE,voice|drum
nootka090,90,173,1343,Young Doctor,male,Makah,,100,,100,FALSE,FALSE,voice
nootka091,91,174,1344,Young Doctor,male,Makah,,92,,92,FALSE,FALSE,voice
nootka092,92,175,1347,Young Doctor,male,Makah,,84,,84,FALSE,FALSE,voice
nootka093,93,176,1305,Young Doctor,male,Makah,,93,,93,FALSE,FALSE,voice
nootka094,94,177,1428,Chester Wandahart,male,Makah,,96,96,96,TRUE,TRUE,voice|drum
nootka095,95,178,1306,Young Doctor,male,Makah,,60,,60,FALSE,FALSE,voice
nootka096,96,179,1304,Young Doctor,male,Makah,,86,86,86,TRUE,TRUE,voice|drum
nootka097,97,180,1476,Mrs. Annie Long Tom,female,Clayoquot,,63,,63,FALSE,FALSE,voice
nootka098,98,185,1407,Mrs. Helen Irving,female,Makah,irregular,69,126,mixed,TRUE,TRUE,voice|drum
nootka099,99,186,1314,Young Doctor,male,Makah,,50,,50,FALSE,FALSE,voice
nootka100,100,187,1431,James Guy,male,Makah,irregular,92,,92,FALSE,FALSE,voice
nootka101,101,188,1313,Young Doctor,male,Makah,,60,,60,FALSE,FALSE,voice
nootka102,102,189,1312,Young Doctor,male,Makah,,84,84,84,TRUE,TRUE,voice|drum
nootka103,103,190,1350,Young Doctor,male,Makah,,72,,72,FALSE,FALSE,voice
nootka104,104,191,1388,James Guy,male,Makah,irregular,96,,96,FALSE,FALSE,voice
nootka105,105,192,1389,James Guy,male,Makah,,92,,92,FALSE,FALSE,voice
nootka106,106,193,1443,Mrs. Sarah Guy,female,Clayoquot,irregular,88,,88,FALSE,FALSE,voice
nootka107,107,193,1444,Mrs. Sarah Guy,female,Clayoquot,irregular,144,,144,FALSE,FALSE,voice
nootka108,108,194,1445,Mrs. Sarah Guy,female,Clayoquot,,96,,96,FALSE,FALSE,voice
nootka109,109,196,1300,Young Doctor,male,Makah,,72,,72,FALSE,FALSE,voice
nootka110,110,198,1301,Young Doctor,male,Makah,,72,,72,FALSE,FALSE,voice
nootka111,111,199,1302,Young Doctor,male,Makah,,66,,66,FALSE,FALSE,voice
nootka112,112,200,1392,James Guy,male,Makah,,69,,69,FALSE,FALSE,voice
nootka113,113,201,1393,James Guy,male,Makah,,84,,84,FALSE,FALSE,voice
nootka114,114,203,1394,James Guy,male,Makah,,76,,76,FALSE,FALSE,voice
nootka115,115,217,1464,Mrs. Annie Long Tom,female,Clayoquot,,52,,52,FALSE,FALSE,voice
nootka116,116,218,1405,Mrs. Helen Irving,female,Makah,,96,96,96,TRUE,TRUE,voice|drum
nootka117,117,219,1470,Mrs. Annie Long Tom,female,Clayoquot,,42,,42,FALSE,FALSE,voice
nootka118,118,220,1462,Mrs. Annie Long Tom,female,Clayoquot,,69,,69,FALSE,FALSE,voice
nootka119,119,221,1353,Mrs. Wilson Parker,female,Makah,irregular,66,,66,FALSE,FALSE,voice
nootka120,120,222,1356,Mrs. Wilson Parker,female,Makah,,63,,63,FALSE,FALSE,voice
nootka121,121,223,1404,Mrs. Helen Irving,female,Makah,,76,,76,FALSE,FALSE,voice
nootka122,122,224,1406,Mrs. Helen Irving,female,Makah,,69,69,69,TRUE,TRUE,voice|drum
nootka123,123,225,1463,Mrs. Annie Long Tom,female,Clayoquot,,52,,52,FALSE,FALSE,voice
nootka124,124,226,1349,Young Doctor,male,Makah,irregular,69,,69,FALSE,FALSE,voice
nootka125,125,227,1469,Mrs. Annie Long Tom,female,Clayoquot,,56,,56,FALSE,FALSE,voice
nootka126,126,227,1354,Mrs. Wilson Parker,female,Makah,irregular,96,,96,FALSE,FALSE,voice
nootka127,127,228,1374,Mrs. Wilson Parker,female,Makah,,96,,96,FALSE,FALSE,voice
nootka128,128,229,1355,Mrs. Wilson Parker,female,Makah,,60,,60,FALSE,FALSE,voice
nootka129,129,239,1369,Mrs. Wilson Parker,female,Makah,,76,,76,FALSE,FALSE,voice
nootka131,131,231,1371,Mrs. Wilson Parker,female,Makah,irregular,54,,54,FALSE,FALSE,voice
nootka204,204,335,1491,Mrs. Gilbert Holden,female,Quileute,,84,132,mixed,TRUE,TRUE,voice|drum
